,epochs,embedding_model,embedding_output,backward_pass,model,f1_score,accuracy,loss,time_per_epoch,time
0,10,word2vec-google-news-300,300,True,LSTMModel,0.24957128730236566,0.6524710830704522,1.0763345956802368,89.00386402606964,890.0386402606964
1,10,word2vec-google-news-300,300,False,RNNModel,0.11709333226869519,0.49947423764458465,1.5606284141540527,65.59159138202668,655.9159138202667
2,10,word2vec-google-news-300,300,False,LSTMModel,0.18412693457595844,0.5951629863301787,1.3033990859985352,77.93637592792511,779.3637592792511
3,10,glove-wiki-gigaword-100,100,True,LSTMModel,0.24301180007537634,0.631440588853838,1.0871940851211548,72.63837714195252,726.3837714195251
4,10,glove-wiki-gigaword-100,100,False,RNNModel,0.10237816449945562,0.42481598317560465,1.6129372119903564,48.283596539497374,482.83596539497375
5,10,glove-wiki-gigaword-100,100,False,LSTMModel,0.1860027979029548,0.6083070452155626,1.2526731491088867,62.234132528305054,622.3413252830505
6,10,glove-twitter-100,100,True,LSTMModel,0.26715549885164325,0.6487907465825447,1.0861186981201172,72.0200305223465,720.200305223465
7,10,glove-twitter-100,100,False,RNNModel,0.11698973630439964,0.49053627760252366,1.548519253730774,50.085433554649356,500.85433554649353
8,10,glove-twitter-100,100,False,LSTMModel,0.12878193044866798,0.53732912723449,1.4326527118682861,63.25315284729004,632.5315284729004
9,10,own_embedding_layer,500,True,LSTMModel,0.45753215646329937,0.7833859095688749,0.5939309000968933,30.954253935813902,309.54253935813904
10,10,own_embedding_layer,500,False,RNNModel,0.1117641660497122,0.49369085173501576,1.5477979183197021,5.811975526809692,58.119755268096924
11,10,own_embedding_layer,500,False,LSTMModel,0.3448215051234598,0.7355415352260778,0.7793546915054321,16.040867924690247,160.40867924690247